First Name,Last Name,ID,Stream,Preference 1,Preference 2,Preference 3,Preference 4,Preference 5,Preference 6,Preference 7,Preference 8,Preference 9,Preference 10
Cris,Collinsworth,29594554,CS,promoting Fascism,composing classical music,attacking neighbors,studying computability,chasing criminals,plagiarizing political speeches,telling politicians what to do,marrying underage girls,singing melancholy songs,over-acting
Mario,Lanza,29365206,CS,singing parody songs,running a technology company,playing rock guitar,bridging cultures,recruiting dissidents,promoting feminism,predicting the future,writing pop songs,marrying underage girls,wielding political power
Lady,Baden-Powell,10164139,CS,planting evidence,consolidating an empire,doing stand-up,writing rock songs,testing new technologies,puncturing artistic sensibilities,singing pop songs,cracking enemy codes,riding a bicycle,spreading revolution
Clara,Barton,91792401,CS,winning cycling races,leaking state secrets,promoting conservative values,writing pop songs,singing Hipbop songs,running a new-age website,racing fast cars,scandalizing polite society,insulting minorities,exploring the new world
Phil,Collins,59060022,DS,running a smuggling business,solving crimes,testing new technologies,digging for antiquities,cooking the books,getting a nose job,keeping accounts,practicing the Occult,finding clues,studying magic
Michael,Crawford,52574395,DS,playing pranks,running a hotel,solving mysteries,eating census takers,performing household chores,digging for antiquities,solving crimes,kicking ass,creating nightmares,carrying secret plans
John,Malkovich,61052167,CS,living amongst apes,throwing temper tantrums,terrorizing prostitutes,promoting conservative values,consolidating an empire,selling out,winning tennis matches,singing punk rock songs,selling self-help books,writing cook books
Linda,Blair,46438072,DS,striving for world domination,solving crimes,foiling the schemes of evil villains,bending the law,exploiting women,preventing crime,promoting logical thinking,devising evil schemes,revelling in blood spatter,eluding the CIA
Barbara,Hershey,43468563,DS,practicing insincerity,selling tat,solving crimes,reading the news,stealing human fat,surviving in the 25th century,wielding political power,creating adverts,practicing the Occult,guarding the galaxy
Kelsey,Grammer,49805064,DS,selling dodgy goods,beating menial staff,promoting logical thinking,creating adverts,ranting about liberals,smoking during recess,fighting the forces of good,causing mayhem,offering medical opinions,singing pop songs
Olivia,Hussey,37493860,CS,playing tough guys,promoting feminism,piloting a spaceship,running an empire,bridging cultures,winning tennis grand slams,singing punk rock songs,singing pop songs,delivering judgments,writing short stories
Rick,Rockwell,45906049,CS,puncturing artistic sensibilities,singing parody songs,promoting conservative values,shopping for shoes,terrorizing prostitutes,delivering judgments,cozying up to conservatives,winning golf tournaments,collecting shoes,starring in romantic comedies
Screamin',Hawkins,75496827,CS,wielding political power,composing classical music,running a software company,playing basketball,playing the saxophone,promoting feminism,playing baseball,marrying underage girls,making political gaffes,promoting new technologies
Stephen,Hendry,37947846,CS,directing Hollywood movies,wearing tights,racing fast cars,cracking enemy codes,leading revolts,winning boxing matches,spreading revolution,playing tough guys,chasing criminals,running a new-age website
Laura,Schlessinger,13735289,DS,fighting the forces of good,selling dodgy goods,fighting in gladiator arenas,testing new technologies,climbing social ladders,creating adverts,running a criminal enterprise,cheating at poker,buying on credit,living amongst apes
Desi,Arnaz,59396167,CS,selling self-help books,puncturing artistic sensibilities,making violent movies,starring in madcap comedies,promoting feminism,winning tennis grand slams,running a technology company,chasing criminals,trading innuendo,gurning for the camera
Jude,Law,13936238,CS,winning cycling races,directing movies,writing about social problems,living amongst apes,shopping for shoes,recording history,chasing after women,engaging in hapless hijinks,running a media empire,promoting new technologies
Louis,Brandeis,73639655,DS,kicking ass,preventing crime,pedalling engine-less cars,reading the news,carrying secret plans,performing household chores,womanizing,smoking during recess,fighting for justice,cheating at poker
William,Shatner,51084191,CS,making vague predictions,designing modern buildings,scandalizing polite society,spreading revolution,puncturing artistic sensibilities,wearing a batsuit,reporting the news,promoting new technologies,recording pop songs,running a media empire
Paul,Shaffer,45889479,CS,designing clothes,running a new-age website,following the money,chasing after women,flirting with rednecks,promoting conservative values,directing action movies,cracking enemy codes,directing movies,explaining natural selection
Les,Paul,88529618,DS,fighting barbarian hordes,spying for the enemy,carrying secret plans,shagging spies,promoting logical thinking,fighting in gladiator arenas,getting a nose job,solving mysteries,climbing social ladders,cooking chrystal meth
Eileen,Brennan,25710407,CS,writing Russian novels,living amongst apes,starring in Hollywood movies,running an empire,gurning for the camera,promoting conservative values,running an empire,holding evasive press conferences,running theme parks,writing cook books
John,Hughes,23401677,DS,raging against the machine,building an army,womanizing,practicing good skin care,striving for world domination,exploiting women,practicing the Occult,preventing crime,being a good neighbor,making silly decisions
Dale,Earnhart,68893007,CS,writing Russian novels,spreading revolution,whining at umpires,winning Oscars,making dumb comedies,cracking enemy codes,promoting feminism,running a kingdom,treating the sick with jokes,writing cook books
Jack,Niclaus,79901585,DS,beating menial staff,eating census takers,raging against the machine,foiling the schemes of evil villains,running a criminal enterprise,revelling in blood spatter,teaching the next generation,reading the news,practicing insincerity,offering medical opinions
Lowell,George,51731492,DS,spying for the enemy,defending the weak,chasing cats,keeping accounts,starring in Hollywood movies,beating menial staff,devising evil schemes,getting a nose job,ranting about liberals,terrorizing employees
Michelangelo,Buonarroti,50753927,DS,punishing terrorists,wielding political power,cooking chrystal meth,selling dodgy goods,running an empire,fighting barbarian hordes,hacking into corporate mainframes,solving mysteries,writing up case notes,fighting in gladiator arenas
James,Caan,18399116,CS,interviewing politicians,directing the business of state,recruiting dissidents,playing James Bond,treating the sick with jokes,blanketing staff with memos,promoting conservative values,singing punk rock songs,changing privacy settings,collecting shoes
Judy,Blume,25808217,DS,running an empire,revelling in blood spatter,beating menial staff,solving crimes,teaching the next generation,running a criminal empire,bending the law,hacking into corporate mainframes,hacking into corporate mainframes,exploiting women
Napoleon,,94780720,CS,starring in indy movies,crushing dissent,playing basketball,starring in Hollywood movies,playing the saxophone,writing pop songs,composing classical music,making political gaffes,playing baseball,whining at umpires
James,Jones,56080029,CS,promoting democracy,singing Hipbop songs,running a new-age website,running an empire,chasing after women,wearing a batsuit,promoting Fascism,singing pop songs,plagiarizing political speeches,holding evasive press conferences
Lance,Armstrong,26858734,DS,studying science,offering medical opinions,cooking chrystal meth,fighting the forces of good,squandering money,interpreting evidence,fighting for justice,running a criminal enterprise,causing mayhem,keeping accounts
Agnetha,F�ltskog,71471463,CS,cracking enemy codes,betraying friends,starring in romantic comedies,singing rock songs,making vague predictions,writing Russian novels,doing stand-up,studying mathematics,changing privacy settings,winning tennis grand slams
Wes,Studi,61874675,CS,starring in Hollywood movies,singing experimental songs,winning boxing matches,chasing after women,running a dictatorship,singing pop songs,painting colorful pictures,racing fast cars,explaining natural selection,making modern art
Halle,Berry,81773879,CS,whining at umpires,running for the senate,selling out,gyrating hips,directing movies,telling politicians what to do,terrorizing prostitutes,starring in Hollywood movies,running a media empire,singing pop songs
Julie,Newmar,30536037,CS,running a new-age website,writing pop songs,running a dictatorship,spreading revolution,spying for the enemy,piloting a spaceship,writing cook books,starring in madcap comedies,giving speeches,wearing a batsuit
Ossie,Davis,49221100,CS,throwing temper tantrums,interviewing politicians,collecting shoes,attacking neighbors,painting colorful pictures,selling modern art,writing weird movies,exploring the new world,singing opera arias,running an empire
Kenneth,,91085176,DS,guarding the galaxy,fighting the forces of good,battling the forces of darkness,avoiding work,womanizing,keeping accounts,teaching Defence Against the Dark Arts,revelling in blood spatter,buying on credit,smoking during recess
Edward,Steichen,83031200,DS,attending cocktail parties,preparing for war,terrorizing employees,raging against the machine,fighting for justice,pedalling engine-less cars,spying for the enemy,stealing human fat,selling tat,looking after children
Neil,Harris,43611863,CS,starring in Hollywood movies,planting evidence,reporting the news,starring in Hollywood movies,making bizarre movies,singing pop songs,recruiting dissidents,treating the sick with jokes,throwing temper tantrums,making violent movies
Kim,Cattrall,37544086,CS,making dumb comedies,running a technology company,playing tough guys,running a media empire,playing basketball,predicting the future,making action movies,ruling over subjects,running races,doing stand-up
Louisa,Alcott,25113914,CS,running a dictatorship,consolidating an empire,recording history,winning cycling races,singing opera arias,trading in wives,holding evasive press conferences,singing jazz songs,singing Hipbop songs,making vague predictions
Douglas,Fraser,94254957,CS,teaching the next generation,running for the senate,trading innuendo,piloting a spaceship,selling out,ranting about liberals,throwing temper tantrums,rooting out facts,leading revolts,running an empire
Betty,Hutton,38264328,CS,promoting feminism,planting evidence,running a kingdom,writing pop songs,writing pop songs,launching cultural revolutions,selling modern art,cozying up to conservatives,wearing tights,starring in indy movies
Rudolf,Nureyev,52252570,DS,digging for antiquities,solving crimes,hacking into corporate mainframes,squandering money,exploiting women,singing bawdy songs,playing pranks,starring in Hollywood movies,defending the weak,delivering presents
Jack,Benny,33379835,DS,solving crimes,fishing for shrimps,wielding political power,practicing good skin care,smoking Silk Cut cigarettes,traveling in time,hunting wabbits,revelling in blood spatter,carrying secret plans,running an empire
Wernher,Von-Braun,50221726,DS,getting a nose job,spitting while speaking,digging for antiquities,traveling in time,eating census takers,starring in Hollywood movies,duelling acrobatically,preparing for war,promoting the Dark Side,solving crimes
Mel,Ferrer,96940893,DS,fighting for justice,defending the weak,going bowling,delivering presents,climbing social ladders,instilling fear in the enemy,eating census takers,teaching the next generation,looking for immortality,making documentaries
Andy,Warhol,63013461,CS,starring in Hollywood movies,running for the senate,terrorizing prostitutes,making political gaffes,attacking neighbors,leaking state secrets,coining sparkling witticisms,piloting a spaceship,plagiarizing political speeches,telling politicians what to do
Rex,Reed,79469561,CS,changing privacy settings,trading innuendo,running for the senate,composing classical music,gyrating hips,writing pop songs,promoting conservative values,writing weird movies,running an empire,starring in romantic comedies
Simone,Signoret,72384522,CS,crushing dissent,directing Hollywood movies,running a new-age website,attacking neighbors,playing baseball,singing pop songs,designing modern buildings,giving speeches,promoting conservative values,running theme parks
Jermaine,Jackson,44824797,DS,studying science,running a hotel,running a criminal enterprise,seducing women,making silly decisions,cheating at poker,solving crimes,kicking ass,keeping accounts,cooking chrystal meth
MoNique,,23060166,CS,shopping for shoes,leaking state secrets,winning cycling races,promoting feminism,puncturing artistic sensibilities,playing the organ,chasing criminals,directing movies,running for the senate,trading innuendo
Francis,Coppola,42462459,DS,cheating at poker,reading the news,running a hotel,practicing insincerity,solving crimes,starring in Hollywood movies,cooking chrystal meth,digging for antiquities,causing mayhem,teaching Defence Against the Dark Arts
Anne,Meara,87198039,CS,chasing after women,starring in romantic comedies,starring in Hollywood movies,playing baseball,writing comedy,performing magic tricks,puncturing artistic sensibilities,designing modern buildings,ranting about liberals,spying for the enemy
Wayne,Newton,28435484,CS,chasing criminals,following the money,terrorizing prostitutes,cracking enemy codes,puncturing artistic sensibilities,singing Hipbop songs,promoting conservative values,writing Russian novels,winning tennis grand slams,spreading revolution
Katie,Couric,52116845,CS,attacking neighbors,reporting the news,leaking state secrets,playing the organ,ranting about liberals,running pyramid schemes,running an empire,writing pop songs,telling politicians what to do,doing stand-up
Jill,Ireland,68086415,CS,singing pop songs,playing rock guitar,playing basketball,singing pop songs,bridging cultures,running Ponzi schemes,directing action movies,launching cultural revolutions,promoting science,running races
Chris,ODonnell,48188038,CS,running a technology company,winning tennis grand slams,throwing temper tantrums,running a new-age website,piloting a spaceship,treating the sick with jokes,wielding political power,running Ponzi schemes,promoting humanism,cozying up to conservatives
Earl,Hines,52341096,DS,kicking ass,keeping accounts,interpreting evidence,causing mayhem,attending cocktail parties,climbing social ladders,digging for antiquities,instigating rebellion,being condescending to customers,raging against the machine
Augustus,Caesar,94324854,CS,making bizarre movies,making violent movies,running Ponzi schemes,winning tennis grand slams,winning cycling races,starring in romantic comedies,writing about manly pursuits,playing the saxophone,promoting conservative values,wearing a batsuit
Leonard,Nimoy,15656990,CS,consolidating an empire,planting evidence,writing modern fiction,starring in Hollywood movies,promoting new technologies,painting colorful pictures,recording history,ranting about liberals,winning tennis matches,running a media empire
Hedda,Hopper,26074822,CS,attacking neighbors,running an empire,promoting conservative values,chasing after women,singing pop songs,trading innuendo,judging legal cases,winning tennis matches,singing pop songs,recruiting dissidents
Butterfly,McQueen,78425102,CS,reporting the news,running for the senate,singing pop songs,starring in romantic comedies,holding evasive press conferences,ruling over subjects,playing the saxophone,starring in Hollywood movies,recruiting dissidents,selling modern art
Pamela,Martin,10337727,DS,devising evil schemes,wielding political power,cooking the books,terrorizing employees,chasing cats,testing new technologies,eating census takers,practicing insincerity,solving crimes,singing bawdy songs
Kane,,86163646,DS,interpreting evidence,kicking ass,finding clues,fighting for justice,creating adverts,promoting logical thinking,revelling in blood spatter,avoiding work,climbing social ladders,running a criminal empire
Sandra,Day-OConnor,84561566,CS,holding evasive press conferences,consolidating an empire,directing Hollywood movies,interviewing politicians,writing serialized stories,starring in madcap comedies,starring in Hollywood movies,promoting boxing fights,racing fast cars,plagiarizing political speeches
Judy,Collins,61901901,DS,writing in ledgers,striving for world domination,solving crimes,teaching the next generation,living amongst apes,studying magic,squandering money,keeping accounts,watching the sun rise,teaching young mutants
Marlo,Thomas,11525155,DS,solving crimes,causing mayhem,cheating at poker,striving for world domination,interpreting evidence,solving crimes,punishing terrorists,getting a nose job,hacking into corporate mainframes,defending the weak
Eugene,Ionesco,80719982,CS,spreading revolution,making modern art,insulting celebrities,bridging cultures,planting evidence,writing pop songs,writing pop songs,teaching the next generation,promoting conservative values,womanizing
Rupert,Grint,74676654,CS,insulting celebrities,following the money,running a kingdom,launching cultural revolutions,starring in Hollywood movies,winning tennis matches,directing the business of state,writing about social problems,writing pop songs,running a software company
J.,Getty,31894537,DS,cooking the books,beating menial staff,studying magic,hacking into corporate mainframes,carrying secret plans,preventing crime,fighting for justice,solving mysteries,getting a nose job,creating nightmares
Anne,Bancroft,43306452,CS,smiting Philistines,flirting with rednecks,teaching philosophy,trading innuendo,studying mathematics,playing ice hockey,ruling over subjects,winning cycling races,spreading revolution,running a kingdom
Johnny,Depp,73677640,CS,singing pop songs,winning tennis grand slams,terrorizing prostitutes,writing pop songs,predicting the future,playing baseball,running a dictatorship,making vague predictions,making dumb comedies,winning tennis matches
Plato,,77622978,CS,telling politicians what to do,making vague predictions,directing movies,making bizarre movies,eliminating political rivals,running for the senate,promoting feminism,selling modern art,terrorizing prostitutes,treating the sick with jokes
Kenny,Chesney,21326212,CS,designing clothes,interviewing politicians,spying for the enemy,directing Hollywood movies,singing punk rock songs,pushing anti-trust legislation,making violent movies,playing tough guys,writing pop songs,holding evasive press conferences
Charles,Ives,50013433,DS,exploiting women,solving crimes,cheating at poker,looking for immortality,teaching the next generation,starring in Hollywood movies,teaching Defence Against the Dark Arts,bending the law,talking to mirrors,spitting while speaking
Liz,McClarnon,68588952,DS,selling tat,looking after children,performing kung-fu moves,running a clandestine spy organization,causing mayhem,studying science,making documentaries,devising evil schemes,singing bawdy songs,smoking during recess
Emmylou,Harris,20786571,DS,punishing terrorists,chasing cats,singing bawdy songs,squandering money,selling tat,ranting about liberals,fighting the forces of good,building an army,promoting logical thinking,fighting barbarian hordes
Curtis,Mayfield,42695755,DS,wielding political power,manipulating political pawns,being condescending to customers,singing pop songs,teaching Defence Against the Dark Arts,womanizing,stealing human fat,revelling in blood spatter,cooking chrystal meth,surviving in the 25th century
Natasha,Bedingfield,77883696,DS,kicking ass,bending the law,offering medical opinions,being condescending to customers,practicing insincerity,pioneering new technologies,building an army,digging for antiquities,attending cocktail parties,cooking the books
Russell,Crowe,84967289,DS,devising evil schemes,punishing terrorists,smoking during recess,teaching the next generation,selling comic books,making documentaries,practicing insincerity,running an empire,avoiding work,kicking ass
Lynn,Redgrave,28476385,CS,scandalizing polite society,wearing a batsuit,writing cook books,promoting boxing fights,directing movies,bridging cultures,winning boxing matches,playing baseball,singing parody songs,winning tennis grand slams
Kel,Mitchell,14118506,DS,causing mayhem,pedalling engine-less cars,looking for immortality,womanizing,smoking during recess,promoting mysticism,manipulating political pawns,digging for antiquities,teaching young mutants,instigating rebellion
Bobby,Goldsboro,57488112,CS,playing the saxophone,painting colorful pictures,coining sparkling witticisms,composing classical music,shopping for shoes,writing pop songs,living amongst apes,selling self-help books,riding a bicycle,plagiarizing political speeches
Margot,Fonteyn,17755392,CS,starring in Hollywood movies,running an empire,coining sparkling witticisms,piloting a spaceship,engaging in hapless hijinks,making dumb comedies,starring in TV shows,running a media empire,running Ponzi schemes,playing the organ
Tony,Roberts,63850624,CS,selling modern art,recruiting dissidents,writing weird movies,writing cook books,plagiarizing political speeches,singing pop songs,testing new technologies,scandalizing polite society,writing Russian novels,singing pop songs
Dina,Merrill,64752182,CS,puncturing artistic sensibilities,planting evidence,shopping for shoes,writing cook books,starring in Hollywood movies,singing pop songs,interviewing politicians,plagiarizing political speeches,running a dictatorship,mangling idioms
Seth,Rogen,74445657,CS,writing pop songs,proving math theorems,spreading revolution,telling politicians what to do,playing James Bond,starring in Hollywood movies,making political gaffes,spreading revolution,starring in indy movies,holding evasive press conferences
Andres,Segovia,13481671,CS,plagiarizing political speeches,racing fast cars,winning boxing matches,playing the saxophone,recruiting dissidents,writing pop songs,wearing tights,blanketing staff with memos,making dumb comedies,singing pop songs
Perry,Como,96317245,CS,consolidating an empire,recording history,cracking enemy codes,writing about social problems,chasing criminals,starring in Hollywood movies,spreading revolution,running a media empire,starring in romantic comedies,playing the organ
