Staff Name,Research Activity,Stream,Preferred Probability
Howard Hughes,running an empire,CS,0.3945005543205498
Gordon Ramsay,cooking fancy food,CS,0.39893877039429815
Errol Flynn,starring in action movies,CS+DS,0.14373411639683623
Julian Assange,promoting openness,CS+DS,0.2867329665570423
Cary Grant,starring in romantic comedies,CS,0.37849536386506927
Richard Nixon,pulling dirty political tricks,CS+DS,0.10466657759496734
Grace Kelly,starring in romantic comedies,CS+DS,0.15523546821244935
Gandalf the Grey,smoking herb,DS,0.11823383966697641
Anthony Scaramucci,managing hedge funds,CS,0.34616171211874935
Tupac Shakur,singing Hipbop songs,CS+DS,0.37664045534220797
Saga Norén,interpreting evidence,DS,0.3823339045931063
JD Salinger,hiding from the public,CS+DS,0.32058029237819863
Professor Charles Xavier,running a school for gifted teens,DS,0.20398771175148359
Jean-Luc Picard,commanding a spaceship,DS,0.3159209013246151
Basil Fawlty,running a hotel,DS,0.013691464079281956
Adolf Hitler,organizing a putsch,CS,0.28942707292751974
Indiana Jones,unearthing ancient tombs,DS,0.07185359092254585
Flash Gordon,defending the Earth,DS,0.1989501615181497
Mick Jagger,singing rock songs,CS,0.398535266459065
Orson Welles,starring in Hollywood movies,CS+DS,0.2943895859922672
Oprah Winfrey,interviewing celebrities,CS+DS,0.3862139215958613
Patch Adams,treating the sick with jokes,CS+DS,0.3750013462618363
Leroy Jethro Gibbs,interpreting evidence,DS,0.314781437449064
Professor Charles Xavier,teaching the next generation,DS,0.13739695238857833
Leni Riefenstahl,making propagandistic movies,CS,0.34211782176186667
Grigori Rasputin,manipulating political pawns,CS+DS,0.2508011016676213
Frank Underwood,directing the business of state,DS,0.3848359710561
Captain William Bligh,cracking the whip,CS,0.28532790382218326
Will Smith,starring in Hollywood movies,CS+DS,0.03191323478485855
Bugs Bunny,wisecracking,DS,0.37184354674207043
George Orwell,warning about totalitarianism,CS+DS,0.3269737227364363
Winston Churchill,fighting for democracy,CS+DS,0.3444049607267085
Sir Hugo Drax,devising evil schemes,DS,0.324943420280408
Gore Vidal,writing historical fiction,CS+DS,0.1380793334256112
Coriolanus Snow,crushing dissent,DS,0.32821708551281936
Boy George,writing pop songs,CS,0.304020300224925
Jack Nicholson,starring in romantic comedies,CS+DS,0.3823541177860102
Conan the Barbarian,defending the weak,DS,0.2761116993812438
Jack The Ripper,terrorizing prostitutes,CS,0.24290156473980584
Tyler Durden,subverting social conventions,DS,0.2536400346047311
Dean Winchester,eating bacon cheeseburgers,DS,0.20092460264086232
Morgana Le Fay,casting magic spells,DS,0.2436344350089722
O.J. Simpson,shilling for rental car companies,CS+DS,0.36645383163127
Billy Crystal,doing stand-up,CS+DS,0.39607343181286814
John Dillinger,robbing banks,CS,0.057015756687397036
Martha Stewart,writing cook books,CS,0.1466710586689283
Nancy Drew,interpreting evidence,DS,0.23143139567682383
Ann Coulter,ranting about liberals,CS+DS,0.16669754800034722
Carrie Bradshaw,shopping for shoes,DS,0.2813422676183979
Fred Astaire,starring in musical comedies,CS,0.17481182913909712
Commander Data,promoting science,DS,0.3884779187465481
Archie Bunker,ranting about liberals,DS,0.15805727650392215
Juliet Capulet,watching the sun rise,DS,0.39714349077271355
Charles Foster Kane,running a newspaper empire,DS,0.16489465428021727
Sherlock Holmes,solving crimes,DS,0.24205805282154982
Noël Coward,writing plays,CS,0.2606298270056287
David Bowie,singing pop songs,CS,0.3383280896603589
Selma Bouvier,smoking Laramie Hi-Tars,DS,0.03801552163908362
Sherlock Holmes,finding clues,DS,0.2740991747906341
Tony DiNozzo,interpreting evidence,DS,0.3416222001024915
Bruce Banner,losing control,DS,0.2572622274293528
Tomás de Torquemada,promoting conservative values,CS+DS,0.2821007477096962
Bridget Jones,looking for love,DS,0.3294461073500312
Gordon Ramsay,winning Michelin stars,CS,0.396189366054226
J. Edgar Hoover,cross-dressing in women's clothes,CS+DS,0.3372478028953441
Jack Bauer,preventing terrorism,DS,0.3924996388263566
Saga Norén,solving mysteries,DS,0.38859677516138225
Charlie Chaplin,twirling a cane,CS,0.060909051895778214
Noam Chomsky,arguing with political opponents,CS+DS,0.29585969132381384
O.J. Simpson,signing sports memorabilia,CS+DS,0.10359906692722605
P. T. Barnum,selling tickets,CS+DS,0.30963470506640184
Aristotle,teaching philosophy to future leaders,CS,0.03784524850017882
Lex Luthor,promoting greed,DS,0.3499454473682293
Ariana Grande,singing pop songs,CS+DS,0.39563179173201457
Dr. Greg House,treating diseases,DS,0.31323608702992345
Ayn Rand,ranting about liberals,CS+DS,0.321084364191676
Brian Wilson,singing multipart harmonies,CS+DS,0.2980543699066119
Morpheus,raging against the machine,DS,0.39534122371692804
Walt Disney,running theme parks,CS,0.3967924485778653
Elvis Presley,starring in romantic comedies,CS+DS,0.24151420728487208
Inspector Endeavour Morse,solving mysteries,DS,0.3457290873280276
Albus Dumbledore,running a school for gifted teens,DS,0.3484115265840527
Christiane Amanpour,reporting the news,CS,0.27689134248216135
Optimus Prime,transforming into vehicles,DS,0.39369718514335034
Karl Marx,promoting communism,CS,0.3942445041420905
Walt Longmire,solving mysteries,CS,0.3988255763946776
Morgana Le Fay,brewing magican potions,DS,0.20353199457432763
Adrian Monk,solving crimes,DS,0.2994670671102254
Green Lantern,guarding the galaxy,DS,0.13097571636918443
Leonardo DiCaprio,dating supermodels,CS,0.37716824410967087
Vladimir Lenin,arguing against capitalism,CS,0.08168617383054902
Kobe Bryant,playing basketball,CS+DS,0.24661592883731584
Inspector Endeavour Morse,interpreting evidence,DS,0.2472871531116905
Jason Voorhees,creating nightmares,DS,0.3413221299751443
Merlin,brewing magican potions,DS,0.3907316816025406
Spider-Man,tricking criminals,DS,0.39462704941135895
Judge Joe Dredd,tracking down criminals,DS,0.39635475289962746
Fred Astaire,starring in romantic comedies,CS,0.21011372240630347
Dr. Greg House,interpreting evidence,DS,0.22812060502744286
Adrian Monk,solving mysteries,DS,0.38046896065507446
Frank Underwood,climbing social ladders,DS,0.38651252438361217
Cicero,defending plaintiffs,CS,0.35123457810735276
Napoleon Solo,rescuing damsels in distress,DS,0.26630202163630295
Florence Nightingale,treating the injured,CS,0.12341870503485852
Adolf Hitler,launching a war,CS,0.31972818789594115
R2D2,carrying secret plans,DS,0.14845076262997803
John Lennon,writing pop songs,CS+DS,0.368362537706278
Mother Teresa,promoting Catholic values,CS,0.39879529779967776
Yoda,duelling acrobatically,DS,0.16820050531643652
James Dean,racing fast cars,CS,0.07153682417186018
Kim Jong-Il,amassing nuclear weapons,CS,0.10489244129021608
David Beckham,playing soccer,CS+DS,0.39894212607578083
Louis Armstrong,singing jazz songs,CS+DS,0.3287848663908696
Elvis Presley,gyrating hips,CS+DS,0.36417266185294495
Rupert Murdoch,running a media empire,CS,0.039911075948226425
Jimi Hendrix,writing rock songs,CS,0.32504999292544867
James Dean,starring in Hollywood movies,CS,0.0538609509015813
Mark Fuhrman,planting evidence,CS,0.3853497912847094
Superman,foiling the schemes of evil villains,DS,0.16355798631683963
Charles Darwin,explaining evolution,CS,0.35107145689475755
Bugs Bunny,eating carrots,DS,0.30463070371800577
Mel Gibson,directing action movies,CS,0.38002248178306364
Ryan Reynolds,starring in Hollywood movies,CS,0.38603969727144016
Ray Kroc,selling franchises,CS,0.3543959824224535
Hedda Hopper,ranting about liberals,CS+DS,0.3243553910876024
Hercule Poirot,solving crimes,DS,0.26851211791446156
Kim Jong-Il,issuing threats,CS,0.38092751396993585
Thomas "Neo" Anderson,bending spoons,DS,0.22260671168422838
Christiane Amanpour,interviewing celebrities,CS,0.3940181594004548
Dr. John Watson,offering medical opinions,DS,0.3881665991777042
Joe Louis,winning heavyweight titles,CS+DS,0.2558339877320983
Russell Brand,doing stand-up,CS+DS,0.34024657142233095
Dean Winchester,killing demons,DS,0.19438908942275046
Queen Victoria,running a kingdom,CS+DS,0.2427364565227351
Donald Rumsfeld,blanketing staff with memos,CS,0.11491139002544613
David Lynch,writing weird movies,CS+DS,0.33219887709505413
Grace Kelly,starring in Hollywood movies,CS+DS,0.39371874599169254
Mr. Darcy,looking for love,DS,0.3230681810454322
Natasha Romanova,seducing miltary officers,DS,0.12207060535276774
Russell Brand,starring in comedies,CS+DS,0.1676667314412965
Michael Phelps,winning swimming competitions,CS+DS,0.07270544170523952
Bilbo Baggins,posing riddles,DS,0.29648092818940613
Matt Groening,drawing whimsical cartoons,CS+DS,0.30013986136391413
Walt Disney,running a media empire,CS,0.2347824226609402
David Byrne,singing pop songs,CS+DS,0.3599132005150217
Coriolanus Snow,running a bureaucracy,DS,0.30428422243477465
J. Edgar Hoover,ordering wire-taps,CS+DS,0.009403737933819182
Gandalf the Grey,blowing smoke rings,DS,0.3474020458032166
Yoda,fighting for the resistance,DS,0.3986884071461225
Spongebob Squarepants,flipping hamburgers,DS,0.3526545308669984
Malcolm X,fighting for civil rights,CS+DS,0.20483784538720687
Adolf Hitler,opening a new front,CS,0.2159772899031824
Joe Louis,winning boxing matches,CS+DS,0.02361025702748313
Adolf Hitler,running a reich,CS,0.067013573268241
Jimi Hendrix,singing rock songs,CS,0.3524852615532212
Sylvia Plath,writing poetry,CS+DS,0.33644287411107454
Batman,tracking down criminals,DS,0.36618973834092605
George Armstrong Custer,developing military strategies,CS,0.34006471207204597
Dr. Julius No,devising evil schemes,DS,0.06456834410348433
James Comey,chasing criminals,CS+DS,0.39293284192850064
Monica Geller,cooking for friends,DS,0.3987095361779014
Dr. Greg House,finding clues,DS,0.3672545471018409
Selena Gomez,writing pop songs,CS,0.3896295530650305
Bridget Jones,counting calories,DS,0.37240094031595955
Leroy Jethro Gibbs,solving mysteries,DS,0.1912068319913746
Mad Max Rockatansky,defending the weak,DS,0.14216367287777718
Inspector Jacques Clouseau,solving crimes,DS,0.02523425080970757
Napoleon Bonaparte,leading armies into battle,CS,0.04092295007915634
John Rambo,fighting guerilla wars,DS,0.37162064723781946
Tyler Durden,stealing human fat,DS,0.3984317681142
Conan the Barbarian,fighting barbarian hordes,DS,0.23951039800081397
Kim Jong-Il,enriching uranium,CS,0.03430354618827312
Chewbacca,piloting a spaceship,DS,0.3385640619189755
Judge Judy Sheindlin,rooting out facts,CS,0.32813392282249276
Tyra Banks,selling cosmetics,CS+DS,0.34671190145444725
Martin Luther King,fighting for civil rights,CS+DS,0.3982646675586123
Howard Hughes,hiding from the public,CS,0.34275786803279107
Judge Joe Dredd,solving crimes,DS,0.37822345290729537
Lando Calrissian,running a criminal enterprise,DS,0.049247074553833446
Karl Marx,fighting for worker's rights,CS,0.07804011069015349
Bridget Jones,drinking too much red wine,DS,0.392616516689289
John Rambo,eluding authorities,DS,0.3385525204496332
Bruce Banner,bursting out of shirts,DS,0.02012622451876881
Professor Charles Xavier,teaching young mutants,DS,0.13376011539721272
Dean Winchester,hunting demons,DS,0.23094095216624969
Batman,solving crimes,DS,0.018466781831581233
Winston Churchill,promoting democracy,CS+DS,0.2799937063331061
Buzz Aldrin,collecting rock samples,CS+DS,0.009436275941597572
Bridget Jones,keeping a diary,DS,0.25249499388762775
Fletcher Christian,undermining authority,CS,0.3176507149526411
Leonard Hofstadter,promoting science,DS,0.337028086466386
Rico Tubbs,tracking down criminals,DS,0.38584423372671367
Dr. John Watson,writing up case notes,DS,0.22036750130120655
James Comey,ordering wire-taps,CS+DS,0.39849845238273013
Leroy Jethro Gibbs,finding clues,DS,0.0904787657743037
Steve Guttenberg,making dumb comedies,CS,0.17273763728794184
Woody Guthrie,campaigning for environmental causes,CS,0.3959925214456838
Dr. Greg House,diagnosing diseases,DS,0.23737247238783454
Croesus,running an empire,CS+DS,0.39844798303298284
Marcel Duchamp,puncturing artistic sensibilities,CS+DS,0.06049438211340814
Professor Charles Xavier,promoting tolerance,DS,0.3822386389550081
Darth Vader,working for the forces of darkness,DS,0.39345290355172413
Deep Throat,talking in riddles,CS,0.04043190673053272
Walt Longmire,solving crimes,CS,0.39879637791171246
James Comey,running the FBI,CS+DS,0.39836904323480904
Mike Tyson,winning boxing matches,CS+DS,0.32396450694527756
Wilson "Kingpin" Fisk,amassing wealth,DS,0.07251882403516374
Steve Guttenberg,getting plastic surgery,CS,0.38968520136709844
Tomás de Torquemada,extracting confessions,CS+DS,0.0775841651098902
George Orwell,writing polemics,CS+DS,0.015246420247001742
Willy Wonka,making chocolate,DS,0.3337857009965214
Coriolanus Snow,running an empire,DS,0.34249719735920586
Walt Longmire,interpreting evidence,CS,0.38145133974437545
Marco Polo,exploring foreign countries,CS+DS,0.3543440070612589
Ernst Stavro Blofeld,devising evil schemes,DS,0.34783942109887667
Martin Luther King,promoting pacifism,CS+DS,0.34555935317783887
Dr. John Watson,chasing criminals,DS,0.0932251124194939
Sam Winchester,killing monsters,DS,0.08675239296021094
Professor Charles Xavier,reading minds,DS,0.39064466224987066
Victor Frankenstein,playing God,DS,0.3973683750741886
Russell Crowe,starring in Hollywood movies,CS+DS,0.2518816423237265
Robert Langdon,following clues,DS,0.37233162220256616
Hillary Clinton,running for the senate,CS+DS,0.3564223778351608
Bob Marley,singing reggae songs,CS+DS,0.2967361114788911
Mike Tyson,winning heavyweight titles,CS+DS,0.20125313943997636
Grigori Rasputin,wielding political power,CS+DS,0.08389942585903648
Inspector Endeavour Morse,finding clues,DS,0.31937363550916686
Dean Martin,starring in romantic comedies,CS+DS,0.24137498264307122
Jesus Christ,spreading Christianity,CS+DS,0.151365300764773
Sam Winchester,killing demons,DS,0.39277011641998477
Michael O'Leary,running a budget airline,CS,0.30577176598071787
Merlin,studying magic tricks,DS,0.15227573678756812
John Rambo,rescuing prisoners of war,DS,0.21478171272042113
Basil Fawlty,beating menial staff,DS,0.1063315752794501
Archimedes,studying mathematics,CS,0.3194705975598549
Dirty Harry Callahan,solving crimes,DS,0.397628929047409
Justin Bieber,singing to teenagers,CS,0.10604023528261244
Rico Tubbs,arresting drug dealers,DS,0.19595317606452742
Russell Crowe,throwing temper tantrums,CS+DS,0.15418874890125753
Dirty Harry Callahan,tracking down criminals,DS,0.32005946970493293
Croesus,collecting treasures,CS+DS,0.021961903986553233
Rico Tubbs,solving crimes,DS,0.39894223736423023
Bjork,singing pop songs,CS+DS,0.39874214613869324
Clint Eastwood,starring in action movies,CS+DS,0.3988399100616798
Wyatt Earp,arresting criminals,CS+DS,0.22279239145211996
Robert Langdon,studying symbols,DS,0.39354623767914615
Napoleon Bonaparte,running an empire,CS,0.3596696799658192
Ned Flanders,being a good neighbor,DS,0.34602981810001304
Batman,pursuing criminals,DS,0.3913901248097292
Karl Marx,arguing against capitalism,CS,0.38161372388303466
Leonard Hofstadter,studying science,DS,0.39849936315721074
Jesus Christ,promoting charity,CS+DS,0.3974062475968834
Lucifer,laughing at God,DS,0.011580335575265168
Jackson Pollock,painting abstract paintings,CS+DS,0.3419691328253967
Charles Foster Kane,running for governor,DS,0.27584074977958806
Amy Schumer,starring in comedies,CS+DS,0.15195559613256737
Chewbacca,fighting for the rebel alliance,DS,0.2904540215459128
Michael O'Leary,promoting air travel,CS,0.38071109048376695
Marcel Duchamp,challenging artistic norms,CS+DS,0.31591013183115924
Sam Winchester,hunting monsters,DS,0.3845700329325347
Severus Snape,running a school for gifted teens,DS,0.30587001630194877
Batman,maintaining a secret identity,DS,0.11776315978980778
Lucifer,tempting the innocent,DS,0.3880139688281467
O.J. Simpson,playing golf,CS+DS,0.27617035942506885
Optimus Prime,fighting decepticons,DS,0.394372655383553
Rush Limbaugh,promoting conservative values,CS+DS,0.2891461793538566
Willy Wonka,pioneering new technologies,DS,0.3146799533162424
James Comey,running a bureaucracy,CS+DS,0.32335076694710224
Batman,solving crimes,DS,0.39309960261294447
Jean-Paul Sartre,popping amphetamines,CS,0.3841220423173926
Hillary Clinton,campaigning for the presidency,CS+DS,0.26059448732754037
Batman,preventing crime,DS,0.3225947654057946
